Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	14:18:37	14:18:37	14:18:37			14:18:37	14:18:37	14:18:37	14:18:37	14:18:37	14:18:38	14:18:38	14:18:41	14:18:41	14:18:41	14:18:41	14:18:41	14:18:41			14:18:43	14:18:43		00:00:00		00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:02	00:00:05
1	14:18:43	14:18:43	14:18:43	14:18:43	14:18:43	14:18:43	14:18:43	14:18:43	14:18:43	14:18:43	14:18:44	14:18:44	14:18:46	14:18:46	14:18:46	14:18:46	14:18:46	14:18:46			14:18:47	14:18:47		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
2	14:18:47	14:18:47	14:18:47	14:18:47	14:18:47	14:18:47			14:18:47	14:18:47	14:18:48	14:18:48	14:18:49	14:18:49	14:18:49	14:18:49	14:18:49	14:18:49			14:18:50	14:18:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
3	14:18:50	14:18:50	14:18:50	14:18:50	14:18:50	14:18:50			14:18:50	14:18:50	14:18:50	14:18:50	14:18:52	14:18:52	14:18:52	14:18:52	14:18:52	14:18:52			14:18:53	14:18:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
4	14:18:53	14:18:53	14:18:53	14:18:53	14:18:53	14:18:53			14:18:53	14:18:53	14:18:53	14:18:53	14:18:55	14:18:55	14:18:55	14:18:55	14:18:55	14:18:55			14:18:55	14:18:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	14:18:55	14:18:55	14:18:55	14:18:55	14:18:55	14:18:55			14:18:55	14:18:55	14:18:56	14:18:56	14:18:57	14:18:57	14:18:57	14:18:57	14:18:57	14:18:57			14:18:58	14:18:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	14:18:58	14:18:58	14:18:58	14:18:58	14:18:58	14:18:58			14:18:58	14:18:58	14:18:58	14:18:58	14:19:00	14:19:00	14:19:00	14:19:00	14:19:00	14:19:00			14:19:01	14:19:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	14:19:01	14:19:01	14:19:01	14:19:01	14:19:01	14:19:01			14:19:01	14:19:01	14:19:01	14:19:01	14:19:02	14:19:02	14:19:02	14:19:02	14:19:02	14:19:02			14:19:03	14:19:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	14:19:03	14:19:03	14:19:03	14:19:03	14:19:03	14:19:03			14:19:03	14:19:03	14:19:04	14:19:04	14:19:05	14:19:05	14:19:05	14:19:05	14:19:05	14:19:05			14:19:06	14:19:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	14:19:06	14:19:06	14:19:06	14:19:06	14:19:06	14:19:06			14:19:06	14:19:06	14:19:06	14:19:06	14:19:08	14:19:08	14:19:08	14:19:08	14:19:08	14:19:08			14:19:09	14:19:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
10	14:19:09	14:19:09	14:19:09	14:19:09	14:19:09	14:19:09	14:19:09	14:19:09	14:19:09	14:19:09	14:19:09	14:19:09	14:19:11	14:19:11	14:19:11	14:19:11	14:19:11	14:19:11	14:19:11	14:19:11	14:19:19	14:19:19		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:08	00:00:10
